timepoint,year,block,plot,transect_name,initial_state,treatment_type,dispersal_treatment,cm_location,species_code,genus,species,count,notes
t1,2021,5,13,5_13,log,gap,after,13,acul,Actinobole,uliginosum,1,
t1,2021,5,17,5_17,open,open_with_log,before,0,acul,Actinobole,uliginosum,1,
t1,2021,5,23,5_23,open,open,NA,21,acul,Actinobole,uliginosum,1,transect 21 cm long
t1,2021,5,twenty,5_20,open,open,NA,4,acul,Actinobole,uliginosum,1,
t1,2021,6,25,6_25,open,open_with_pvc,before,14,acul,Actinobole,uliginosum,1,
t0,2020,1,18,1_18,open,open_with_log,after,5,aicu,Aira,cupaniana,1,Recorded as AIRA
t0,2020,1,19,1_19,open,open,NA,13,aicu,Aira,cupaniana,1,Recorded as AIRA
t0,2020,2,1,2_1,log,gap,after,1,aicu,Aira,cupaniana,1,Recorded as AIRA
t0,2020,2,2,2_2,log,insitu_pvc,before,9,aicu,Aira,cupaniana,1,Recorded as AIRA
t0,2020,2,21,2_21,open,open_with_pvc,after,5,aicu,Aira,cupaniana,1,Recorded as AIRA
t0,2020,2,31,2_31,open,open,NA,10,aicu,Aira,cupaniana,1,Recorded as AIRA
t0,2020,4,14,4_14,log,insitu_log,after,14,aicu,Aira,cupaniana,1,Recorded as AIRA
t0,2020,4,14,4_14,log,insitu_log,after,20,aicu,Aira,cupaniana,1,Recorded as AIRA
t0,2020,7,31,7_31,open,open,NA,14,aicu,Aira,cupaniana,1,
t0,2020,7,thirty,7_30,open,open,NA,14,aicu,Aira,cupaniana,1,
t1,2021,1,21,1_21,open,open_with_pvc,before,20,ardy,Arthropodium,dyeri,1,
t1,2021,4,2,4_2,log,insitu_pvc,before,20,ardy,Arthropodium,dyeri,1,
t1,2021,5,7,5_7,log,gap,after,11,ardy,Arthropodium,dyeri,1,
t1,2021,5,7,5_7,log,gap,after,20,ardy,Arthropodium,dyeri,1,
t1,2021,5,19,5_19,open,open,NA,2,ardy,Arthropodium,dyeri,1,
t1,2021,5,19,5_19,open,open,NA,3,ardy,Arthropodium,dyeri,1,
t1,2021,5,19,5_19,open,open,NA,6,ardy,Arthropodium,dyeri,1,
t1,2021,5,19,5_19,open,open,NA,7,ardy,Arthropodium,dyeri,1,
t1,2021,5,19,5_19,open,open,NA,8,ardy,Arthropodium,dyeri,1,
t1,2021,6,5,6_5,log,gap,before,3,ardy,Arthropodium,dyeri,1,
t1,2021,6,5,6_5,log,gap,before,5,ardy,Arthropodium,dyeri,1,
t1,2021,6,5,6_5,log,gap,before,14,ardy,Arthropodium,dyeri,1,
t1,2021,6,6,6_6,log,gap,after,10,ardy,Arthropodium,dyeri,1,
t0,2020,6,24,6_24,open,open_with_pvc,after,12,arsp,Arthropodium,sp.,1,Recorded as 'arthropodium' but entered as Arsp
t0,2020,1,26,1_26,open,open_with_pvc,before,2,bldr,Blennospora,drummundii,1,
t0,2020,1,26,1_26,open,open_with_pvc,before,6,bldr,Blennospora,drummundii,1,
t0,2020,1,26,1_26,open,open_with_pvc,before,9,bldr,Blennospora,drummundii,1,
t0,2020,1,26,1_26,open,open_with_pvc,before,10,bldr,Blennospora,drummundii,1,
t0,2020,1,26,1_26,open,open_with_pvc,before,19,bldr,Blennospora,drummundii,1,
t0,2020,2,ten,2_10,log,gap,before,1,bldr,Blennospora,drummundii,1,
t0,2020,2,ten,2_10,log,gap,before,12,bldr,Blennospora,drummundii,1,
t0,2020,2,ten,2_10,log,gap,before,20,bldr,Blennospora,drummundii,1,
t0,2020,2,thirty,2_30,open,open_with_pvc,before,19,bldr,Blennospora,drummundii,1,
t0,2020,3,5,3_5,log,gap,before,20,bldr,Blennospora,drummundii,1,
t0,2020,3,11,3_11,log,insitu_log,before,7,bldr,Blennospora,drummundii,1,
t0,2020,3,12,3_12,log,insitu_pvc,after,1,bldr,Blennospora,drummundii,1,
t0,2020,3,12,3_12,log,insitu_pvc,after,4,bldr,Blennospora,drummundii,1,
t0,2020,3,12,3_12,log,insitu_pvc,after,6,bldr,Blennospora,drummundii,1,
t0,2020,3,12,3_12,log,insitu_pvc,after,9,bldr,Blennospora,drummundii,1,
t0,2020,3,12,3_12,log,insitu_pvc,after,11,bldr,Blennospora,drummundii,2,
t0,2020,3,12,3_12,log,insitu_pvc,after,18,bldr,Blennospora,drummundii,1,
t0,2020,3,13,3_13,log,gap,before,6,bldr,Blennospora,drummundii,1,
t0,2020,3,13,3_13,log,gap,before,8,bldr,Blennospora,drummundii,1,
t0,2020,3,14,3_14,log,gap,before,1,bldr,Blennospora,drummundii,1,
t0,2020,3,15,3_15,log,insitu_log,after,19,bldr,Blennospora,drummundii,1,
t0,2020,3,16,3_16,log,insitu_pvc,before,3,bldr,Blennospora,drummundii,1,
t0,2020,3,16,3_16,log,insitu_pvc,before,9,bldr,Blennospora,drummundii,1,
t0,2020,3,16,3_16,log,insitu_pvc,before,13,bldr,Blennospora,drummundii,1,
t0,2020,3,16,3_16,log,insitu_pvc,before,18,bldr,Blennospora,drummundii,1,
t0,2020,3,31,3_31,open,open,NA,4,bldr,Blennospora,drummundii,1,
t0,2020,3,32,3_32,open,open_with_log,before,5,bldr,Blennospora,drummundii,1,
t0,2020,3,32,3_32,open,open_with_log,before,7,bldr,Blennospora,drummundii,1,
t0,2020,3,32,3_32,open,open_with_log,before,13,bldr,Blennospora,drummundii,1,
t0,2020,3,32,3_32,open,open_with_log,before,14,bldr,Blennospora,drummundii,1,
t0,2020,3,32,3_32,open,open_with_log,before,16,bldr,Blennospora,drummundii,1,
t0,2020,3,32,3_32,open,open_with_log,before,17,bldr,Blennospora,drummundii,1,
t0,2020,4,twenty,4_20,open,open,before,5,bldr,Blennospora,drummundii,1,
t0,2020,4,twenty,4_20,open,open,before,15,bldr,Blennospora,drummundii,1,
t0,2020,4,twenty,4_20,open,open,before,16,bldr,Blennospora,drummundii,1,
t0,2020,6,2,6_2,log,insitu_pvc,before,14,bldr,Blennospora,drummundii,1,
t0,2020,6,2,6_2,log,insitu_pvc,before,17,bldr,Blennospora,drummundii,1,
t0,2020,6,14,6_14,log,insitu_pvc,before,10,bldr,Blennospora,drummundii,1,
t0,2020,6,15,6_15,log,insitu_log,after,3,bldr,Blennospora,drummundii,1,
t0,2020,6,15,6_15,log,insitu_log,after,13,bldr,Blennospora,drummundii,1,
t0,2020,6,19,6_19,open,open,NA,2,bldr,Blennospora,drummundii,1,this transect is only 19 cm 
t0,2020,6,19,6_19,open,open,NA,9,bldr,Blennospora,drummundii,1,this transect is only 19 cm 
t0,2020,6,19,6_19,open,open,NA,10,bldr,Blennospora,drummundii,1,this transect is only 19 cm 
t0,2020,6,19,6_19,open,open,NA,11,bldr,Blennospora,drummundii,1,this transect is only 19 cm 
t0,2020,6,19,6_19,open,open,NA,14,bldr,Blennospora,drummundii,1,this transect is only 19 cm 
t0,2020,6,24,6_24,open,open_with_pvc,after,8,bldr,Blennospora,drummundii,1,
t0,2020,6,24,6_24,open,open_with_pvc,after,14,bldr,Blennospora,drummundii,1,
t0,2020,6,31,6_31,open,open,NA,6,bldr,Blennospora,drummundii,1,
t0,2020,6,31,6_31,open,open,NA,9,bldr,Blennospora,drummundii,1,
t1,2021,1,7,1_7,log,gap,before,7,bldr,Blennospora,drummundii,1,
t1,2021,1,7,1_7,log,gap,before,16,bldr,Blennospora,drummundii,1,
t1,2021,1,7,1_7,log,gap,before,18,bldr,Blennospora,drummundii,1,
t1,2021,1,7,1_7,log,gap,before,20,bldr,Blennospora,drummundii,1,
t1,2021,1,7,1_7,log,gap,before,21,bldr,Blennospora,drummundii,1,transect 21 cm long
t1,2021,2,9,2_9,log,insitu_pvc,after,3,bldr,Blennospora,drummundii,1,
t1,2021,2,9,2_9,log,insitu_pvc,after,6,bldr,Blennospora,drummundii,1,
t1,2021,2,26,2_26,open,open_with_log,before,6,bldr,Blennospora,drummundii,1,
t1,2021,3,11,3_11,log,insitu_log,before,5,bldr,Blennospora,drummundii,1,
t1,2021,3,11,3_11,log,insitu_log,before,12,bldr,Blennospora,drummundii,1,
t1,2021,3,12,3_12,log,insitu_pvc,after,0,bldr,Blennospora,drummundii,1,
t1,2021,3,12,3_12,log,insitu_pvc,after,1,bldr,Blennospora,drummundii,1,
t1,2021,3,12,3_12,log,insitu_pvc,after,2,bldr,Blennospora,drummundii,1,
t1,2021,3,12,3_12,log,insitu_pvc,after,4,bldr,Blennospora,drummundii,1,
t1,2021,3,12,3_12,log,insitu_pvc,after,20,bldr,Blennospora,drummundii,1,
t1,2021,3,13,3_13,log,gap,before,11,bldr,Blennospora,drummundii,1,
t1,2021,3,13,3_13,log,gap,before,12,bldr,Blennospora,drummundii,1,
t1,2021,3,13,3_13,log,gap,before,15,bldr,Blennospora,drummundii,1,
t1,2021,3,15,3_15,log,insitu_log,after,18,bldr,Blennospora,drummundii,1,
t1,2021,3,15,3_15,log,insitu_log,after,19,bldr,Blennospora,drummundii,1,
t1,2021,3,16,3_16,log,insitu_pvc,before,2,bldr,Blennospora,drummundii,1,
t1,2021,3,16,3_16,log,insitu_pvc,before,3,bldr,Blennospora,drummundii,1,
t1,2021,3,16,3_16,log,insitu_pvc,before,9,bldr,Blennospora,drummundii,1,
t1,2021,3,17,3_17,open,open_with_pvc,before,0,bldr,Blennospora,drummundii,1,Big tree fallen over plot. One nail missing so assumed 20 cm based on remaining nail.
t1,2021,3,17,3_17,open,open_with_pvc,before,2,bldr,Blennospora,drummundii,1,
t1,2021,3,17,3_17,open,open_with_pvc,before,4,bldr,Blennospora,drummundii,1,
t1,2021,3,17,3_17,open,open_with_pvc,before,6,bldr,Blennospora,drummundii,1,
t1,2021,3,17,3_17,open,open_with_pvc,before,17,bldr,Blennospora,drummundii,1,
t1,2021,3,17,3_17,open,open_with_pvc,before,19,bldr,Blennospora,drummundii,1,
t1,2021,3,19,3_19,open,open,NA,11,bldr,Blennospora,drummundii,1,
t1,2021,3,19,3_19,open,open,NA,18,bldr,Blennospora,drummundii,1,
t1,2021,3,19,3_19,open,open,NA,20,bldr,Blennospora,drummundii,1,
t1,2021,3,31,3_31,open,open,NA,5,bldr,Blennospora,drummundii,1,
t1,2021,3,32,3_32,open,open_with_log,before,0,bldr,Blennospora,drummundii,1,
t1,2021,3,32,3_32,open,open_with_log,before,1,bldr,Blennospora,drummundii,1,
t1,2021,3,32,3_32,open,open_with_log,before,3,bldr,Blennospora,drummundii,1,
t1,2021,3,32,3_32,open,open_with_log,before,5,bldr,Blennospora,drummundii,1,
t1,2021,3,32,3_32,open,open_with_log,before,10,bldr,Blennospora,drummundii,1,
t1,2021,3,32,3_32,open,open_with_log,before,15,bldr,Blennospora,drummundii,1,
t1,2021,3,32,3_32,open,open_with_log,before,18,bldr,Blennospora,drummundii,1,
t1,2021,3,32,3_32,open,open_with_log,before,21,bldr,Blennospora,drummundii,1,transect 21 cm long
t1,2021,6,2,6_2,log,insitu_pvc,before,18,bldr,Blennospora,drummundii,1,
t1,2021,6,14,6_14,log,insitu_pvc,before,3,bldr,Blennospora,drummundii,1,
t1,2021,6,14,6_14,log,insitu_pvc,before,8,bldr,Blennospora,drummundii,1,
t1,2021,6,14,6_14,log,insitu_pvc,before,12,bldr,Blennospora,drummundii,1,
t1,2021,6,18,6_18,open,open_with_log,before,7,bldr,Blennospora,drummundii,1,
t1,2021,6,23,6_23,open,open_with_pvc,before,12,bldr,Blennospora,drummundii,1,
t1,2021,6,24,6_24,open,open_with_pvc,after,9,bldr,Blennospora,drummundii,1,
t1,2021,6,24,6_24,open,open_with_pvc,after,10,bldr,Blennospora,drummundii,1,
t1,2021,6,24,6_24,open,open_with_pvc,after,12,bldr,Blennospora,drummundii,1,
t1,2021,7,8,7_8,log,insitu_log,before,18,bldr,Blennospora,drummundii,1,
t1,2021,1,12,1_12,log,insitu_pvc,after,5,blrd,Blennospora,drummundii,1,
t1,2021,3,25,3_25,open,open_with_pvc,before,11,blrd,Blennospora,drummundii,1,
t1,2021,3,25,3_25,open,open_with_pvc,before,12,blrd,Blennospora,drummundii,1,
t1,2021,3,25,3_25,open,open_with_pvc,before,13,blrd,Blennospora,drummundii,1,
t1,2021,3,31,3_31,open,open,NA,4,blrd,Blennospora,drummundii,1,
t1,2021,4,twenty,4_20,open,open,before,14,blrd,Blennospora,drummundii,1,
t1,2021,3,15,3_15,log,insitu_log,after,9,brpe,Brachyscome,perpusilla,1,
t1,2021,3,15,3_15,log,insitu_log,after,11,brpe,Brachyscome,perpusilla,1,
t1,2021,5,13,5_13,log,gap,after,17,brpe,Brachyscome,perpusilla,1,
t1,2021,5,thirty,5_30,log,insitu_log,before,12,brpe,Brachyscome,perpusilla,1,
t1,2021,5,thirty,5_30,log,insitu_log,before,15,brpe,Brachyscome,perpusilla,1,
t1,2021,5,thirty,5_30,log,insitu_log,before,18,brpe,Brachyscome,perpusilla,1,
t1,2021,7,14,7_14,log,insitu_log,before,12,brpe,Brachyscome,perpusilla,1,
t1,2021,3,17,3_17,open,open_with_pvc,before,3,brru,Bromus,rubens,1,
t1,2021,3,17,3_17,open,open_with_pvc,before,8,brru,Bromus,rubens,1,
t1,2021,6,29,6_29,open,open_with_log,after,1,brru,Bromus,rubens,1,
t1,2021,6,29,6_29,open,open_with_log,after,7,brru,Bromus,rubens,1,
t1,2021,6,29,6_29,open,open_with_log,after,10,brru,Bromus,rubens,1,
t1,2021,6,29,6_29,open,open_with_log,after,20,brru,Bromus,rubens,1,
t0,2020,1,16,1_16,log,insitu_log,after,17,buse,Bulbine,semibarbata,1,Recorded as 'bulbine'
t0,2020,4,15,4_15,log,gap,before,20,buse,Bulbine,semibarbata,1,Recorded as 'bulbine'
t0,2020,6,7,6_7,log,gap,after,13,buse,Bulbine,semibarbata,1,Recorded as 'bulbine'
t0,2020,6,24,6_24,open,open_with_pvc,after,2,buse,Bulbine,semibarbata,1,Recorded as 'bulbine'
t1,2021,2,3,2_3,log,gap,after,13,buse,Bulbine,semibarbata,1,
t1,2021,3,13,3_13,log,gap,before,14,buse,Bulbine,semibarbata,1,
t1,2021,3,17,3_17,open,open_with_pvc,before,14,buse,Bulbine,semibarbata,1,
t1,2021,3,17,3_17,open,open_with_pvc,before,18,buse,Bulbine,semibarbata,1,
t1,2021,6,29,6_29,open,open_with_log,after,11,buse,Bulbine,semibarbata,1,
t0,2020,1,11,1_11,log,gap,before,8,caer,Calandrina,eremea,1,
t0,2020,1,ten,1_10,log,insitu_pvc,after,12,caer,Calandrina,eremea,1,
t0,2020,4,7,4_7,log,gap,after,18,caer,Calandrina,eremea,1,
t0,2020,6,6,6_6,log,gap,after,5,caer,Calandrina,eremea,1,
t0,2020,7,7,7_7,log,gap,after,9,caer,Calandrina,eremea,1,
t0,2020,7,7,7_7,log,gap,after,13,caer,Calandrina,eremea,1,
t0,2020,7,18,7_18,open,open_with_log,before,7,caer,Calandrina,eremea,1,
t1,2021,1,16,1_16,log,insitu_log,after,6,caer,Calandrina,eremea,1,
t1,2021,1,16,1_16,log,insitu_log,after,7,caer,Calandrina,eremea,1,
t1,2021,2,17,2_17,open,open_with_log,after,4,caer,Calandrina,eremea,1,
t1,2021,2,24,2_24,open,open_with_log,after,1,caer,Calandrina,eremea,1,
t1,2021,2,32,2_32,open,open,NA,20,caer,Calandrina,eremea,1,
t1,2021,4,3,4_3,log,gap,after,12,caer,Calandrina,eremea,1,
t1,2021,4,5,4_5,log,gap,before,15,caer,Calandrina,eremea,1,
t1,2021,4,9,4_9,log,gap,before,17,caer,Calandrina,eremea,1,
t1,2021,4,9,4_9,log,gap,before,18,caer,Calandrina,eremea,1,
t1,2021,4,16,4_16,log,insitu_log,after,17,caer,Calandrina,eremea,1,
t1,2021,4,19,4_19,open,open,NA,8,caer,Calandrina,eremea,1,
t1,2021,4,24,4_24,open,open_with_log,after,15,caer,Calandrina,eremea,1,
t1,2021,4,thirty,4_30,open,open,NA,4,caer,Calandrina,eremea,1,
t1,2021,4,thirty,4_30,open,open,NA,19,caer,Calandrina,eremea,1,
t1,2021,5,3,5_3,open,open,NA,0,caer,Calandrina,eremea,1,Log had moved slightly
t1,2021,5,3,5_3,open,open,NA,3,caer,Calandrina,eremea,1,
t1,2021,5,3,5_3,open,open,NA,10,caer,Calandrina,eremea,1,
t1,2021,5,3,5_3,open,open,NA,13,caer,Calandrina,eremea,1,
t1,2021,5,3,5_3,open,open,NA,17,caer,Calandrina,eremea,1,
t1,2021,5,15,5_15,log,insitu_log,after,1,caer,Calandrina,eremea,1,
t1,2021,5,28,5_28,open,open_with_pvc,after,21,caer,Calandrina,eremea,1,transect 21 cm long
t1,2021,5,ten,5_10,log,insitu_pvc,after,16,caer,Calandrina,eremea,1,
t1,2021,6,6,6_6,log,gap,after,15,caer,Calandrina,eremea,1,
t1,2021,6,7,6_7,log,gap,after,19,caer,Calandrina,eremea,1,
t1,2021,6,23,6_23,open,open_with_pvc,before,4,caer,Calandrina,eremea,1,
t1,2021,6,23,6_23,open,open_with_pvc,before,7,caer,Calandrina,eremea,1,
t1,2021,6,23,6_23,open,open_with_pvc,before,8,caer,Calandrina,eremea,1,
t1,2021,6,23,6_23,open,open_with_pvc,before,9,caer,Calandrina,eremea,1,
t1,2021,6,23,6_23,open,open_with_pvc,before,12,caer,Calandrina,eremea,1,
t1,2021,6,23,6_23,open,open_with_pvc,before,13,caer,Calandrina,eremea,1,
t1,2021,6,23,6_23,open,open_with_pvc,before,17,caer,Calandrina,eremea,1,
t1,2021,6,23,6_23,open,open_with_pvc,before,20,caer,Calandrina,eremea,1,
t1,2021,6,26,6_26,open,open,NA,20,caer,Calandrina,eremea,1,
t1,2021,7,18,7_18,open,open_with_log,before,13,caer,Calandrina,eremea,1,
t1,2021,7,18,7_18,open,open_with_log,before,14,caer,Calandrina,eremea,1,
t1,2021,7,18,7_18,open,open_with_log,before,15,caer,Calandrina,eremea,1,
t0,2020,1,3,1_3,log,insitu_pvc,before,13,cagr,Calandrina,granulifera,1,
t0,2020,1,18,1_18,open,open_with_log,after,16,cagr,Calandrina,granulifera,1,
t0,2020,1,28,1_28,open,open_with_log,after,12,cagr,Calandrina,granulifera,1,
t0,2020,4,8,4_8,log,gap,after,16,cagr,Calandrina,granulifera,1,
t0,2020,4,8,4_8,log,gap,after,17,cagr,Calandrina,granulifera,1,
t0,2020,4,8,4_8,log,gap,after,20,cagr,Calandrina,granulifera,2,
t1,2021,1,16,1_16,log,insitu_log,after,6,cagr,Calandrina,granulifera,1,
t1,2021,1,16,1_16,log,insitu_log,after,18,cagr,Calandrina,granulifera,1,
t1,2021,3,13,3_13,log,gap,before,16,cagr,Calandrina,granulifera,1,
t1,2021,3,24,3_24,open,open_with_log,before,15,cagr,Calandrina,granulifera,1,
t1,2021,5,12,5_12,log,insitu_pvc,after,7,cagr,Calandrina,granulifera,1,
t1,2021,5,14,5_14,log,insitu_log,after,18,cagr,Calandrina,granulifera,1,
t1,2021,5,15,5_15,log,insitu_log,after,2,cagr,Calandrina,granulifera,1,
t1,2021,6,18,6_18,open,open_with_log,before,20,cagr,Calandrina,granulifera,1,
t1,2021,7,15,7_15,log,insitu_log,after,11,cagr,Calandrina,granulifera,1,
t1,2021,7,thirty,7_30,open,open,NA,3,cagr,Calandrina,granulifera,1,
t1,2021,7,thirty,7_30,open,open,NA,5,cagr,Calandrina,granulifera,1,
t0,2020,5,8,5_8,log,gap,after,8,cahi,Calotis,hispidula,1,
t0,2020,5,8,5_8,log,gap,after,18,cahi,Calotis,hispidula,1,
t0,2020,5,28,5_28,open,open_with_pvc,after,10,cahi,Calotis,hispidula,1,
t0,2020,6,18,6_18,open,open_with_log,before,13,cahi,Calotis,hispidula,1,
t1,2021,1,29,1_29,open,open_with_pvc,after,6,cahi,Calotis,hispidula,1,
t1,2021,4,9,4_9,log,gap,before,20,cahi,Calotis,hispidula,1,
t0,2020,5,21,5_21,open,open,NA,18,casp,Calandrina,sp.,1,Recorded as 'calandrina sp'
t0,2020,5,21,5_21,open,open,NA,19,casp,Calandrina,sp.,1,Recorded as 'calandrina sp'
t0,2020,6,8,6_8,log,gap,before,4,casp,Calandrina,sp.,1,Recorded as 'calandrina sp'
t0,2020,6,28,6_28,open,open_with_log,after,3,casp,Calandrina,sp.,1,Recorded as 'calandrina sp'
t0,2020,7,3,7_3,log,insitu_pvc,before,13,casp,Calandrina,sp.,1,Recorded as 'calandrina'
t1,2021,1,5,1_5,log,gap,after,6,casp,Calandrina,sp.,1,Recorded as 'calandrina #16'
t1,2021,1,23,1_23,open,open,NA,17,casp,Calandrina,sp.,1,Recorded as 'calandrina #16'
t1,2021,1,ten,1_10,log,insitu_pvc,after,13,casp,Calandrina,sp.,1,Recorded as 'calandrina #16'
t1,2021,3,29,3_29,open,open_with_pvc,after,12,casp,Calandrina,sp.,1,Recorded as 'calandrina #16'
t1,2021,4,14,4_14,log,insitu_log,after,17,casp,Calandrina,sp.,1,Recorded as 'calandrina #16'
t1,2021,5,16,5_16,log,insitu_pvc,before,11,casp,Calandrina,sp.,1,Recorded as 'calandrina #16'
t1,2021,5,16,5_16,log,insitu_pvc,before,13,casp,Calandrina,sp.,1,Recorded as 'calandrina #16'
t1,2021,7,19,7_19,open,open_with_log,after,13,casp,Calandrina,sp.,1,Recorded as 'calandrina #16'
t1,2021,6,7,6_7,log,gap,after,9,cear,Centrolepis,aristata,1,
t1,2021,6,7,6_7,log,gap,after,12,cear,Centrolepis,aristata,1,
t1,2021,6,7,6_7,log,gap,after,13,cear,Centrolepis,aristata,1,
t1,2021,6,7,6_7,log,gap,after,16,cear,Centrolepis,aristata,1,
t1,2021,6,7,6_7,log,gap,after,16,cear,Centrolepis,aristata,1,
t1,2021,6,7,6_7,log,gap,after,17,cear,Centrolepis,aristata,1,
t1,2021,6,7,6_7,log,gap,after,18,cear,Centrolepis,aristata,1,
t1,2021,6,7,6_7,log,gap,after,19,cear,Centrolepis,aristata,1,
t1,2021,7,29,7_29,open,open,NA,5,cear,Centrolepis,aristata,1,
t1,2021,7,29,7_29,open,open,NA,6,cear,Centrolepis,aristata,2,
t1,2021,7,29,7_29,open,open,NA,8,cear,Centrolepis,aristata,1,
